id,title,description,images_url,price,created_at,updated_at
5,In Store,Bag Credit,images/noImage.jpg,0.05,2013-07-11  1:46:00,2013-07-11  1:46:00
100,In Store,Gallon Water Refill,images/noImage.jpg,0.39,2013-07-11  1:46:00,2013-07-11  1:46:00
101,In Store,Test Items 5-3,images/noImage.jpg,6.99,2013-07-11  1:46:00,2013-07-11  1:46:00
105,In Store,Glass Bottles - (Veronica Foods - Bulk Oil/ Vin),images/noImage.jpg,1,2013-07-11  1:46:00,2013-07-11  1:46:00
106,In Store,Glass Bottles - (Veronica Foods - Bulk Oil/ Vin),images/noImage.jpg,1,2013-07-11  1:46:00,2013-07-11  1:46:00
107,In Store,Glass Bottles - (Veronica Foods - Bulk Oil/ Vin),images/noImage.jpg,2,2013-07-11  1:46:00,2013-07-11  1:46:00
108,In Store,Olive Bar,images/noImage.jpg,9.99,2013-07-11  1:46:00,2013-07-11  1:46:00
111,Mothers Day,Breakfast in Bed w/o flowers,images/noImage.jpg,23.99,2013-07-11  1:46:00,2013-07-11  1:46:00
114,Alfalfas,1 Reusable Grocery Bag,images/noImage.jpg,2.99,2013-07-11  1:46:00,2013-07-11  1:46:00
248,Izze Beverage Co,Blackberry Soda Case,images/noImage.jpg,14.99,2013-07-11  1:46:00,2013-07-11  1:46:00
249,Izze Beverage Co,Clementine Soda Case,images/noImage.jpg,14.99,2013-07-11  1:46:00,2013-07-11  1:46:00
250,Izze Beverage Co,Apple Soda Case,images/noImage.jpg,14.99,2013-07-11  1:46:00,2013-07-11  1:46:00
251,Frontier,Comfrey Root -Organic,images/noImage.jpg,18,2013-07-11  1:46:00,2013-07-11  1:46:00
254,Mountain Rose,Eucalyptus Leaf -Organic,images/noImage.jpg,18,2013-07-11  1:46:00,2013-07-11  1:46:00
255,Mountain Rose,Skullcap-Organic,images/noImage.jpg,38.5,2013-07-11  1:46:00,2013-07-11  1:46:00
256,Mountain Rose,Slippery Elm Inner Bark -Organic,images/noImage.jpg,38.5,2013-07-11  1:46:00,2013-07-11  1:46:00
257,Mountain Rose,Echinacea Purpurea Root - Organic,images/noImage.jpg,42.75,2013-07-11  1:46:00,2013-07-11  1:46:00
259,Mountain Rose,Hops Flowers-Organic,images/noImage.jpg,67.5,2013-07-11  1:46:00,2013-07-11  1:46:00
